@T,table
Created,2016-05-03 21:08
Author,HortonMachine library
@H,timestamp,value_86
ID,,86
Type,Date,Double
Format,yyyy-MM-dd HH:mm,
,2007-10-17 00:00,-9999
,2007-10-17 01:00,-9999
,2007-10-17 02:00,-9999
,2007-10-17 03:00,-9999
,2007-10-17 04:00,-9999
,2007-10-17 05:00,-9999
,2007-10-17 06:00,0.10605227547893094
,2007-10-17 07:00,0.12725886720554933
,2007-10-17 08:00,0.19076450228608044
,2007-10-17 09:00,0.350672228789694
,2007-10-17 10:00,0.2219021600170792
,2007-10-17 11:00,0.1347276249213758
,2007-10-17 12:00,0.13685770594780072
,2007-10-17 13:00,0.121930613967718
,2007-10-17 14:00,0.13971556255526263
,2007-10-17 15:00,0.1389992604597069
,2007-10-17 16:00,0.058175482151108265
,2007-10-17 17:00,0.05302613773946429
,2007-10-17 18:00,-9999
,2007-10-17 19:00,-9999
,2007-10-17 20:00,-9999
,2007-10-17 21:00,-9999
,2007-10-17 22:00,-9999
,2007-10-17 23:00,-9999
,2007-10-18 00:00,-9999

